,Amplitude,AndersonDarling,Autocor_length,Automean,Beyond1Std,CAR_sigma,CAR_tau,CAR_tmean,Color,Con,Eta_color,Eta_e,FluxPercentileRatioMid20,FluxPercentileRatioMid35,FluxPercentileRatioMid50,FluxPercentileRatioMid65,FluxPercentileRatioMid80,Freq1_harmonics_amplitude_0,Freq1_harmonics_amplitude_1,Freq1_harmonics_amplitude_2,Freq1_harmonics_amplitude_3,Freq1_harmonics_rel_phase_0,Freq1_harmonics_rel_phase_1,Freq1_harmonics_rel_phase_2,Freq1_harmonics_rel_phase_3,Freq2_harmonics_amplitude_0,Freq2_harmonics_amplitude_1,Freq2_harmonics_amplitude_2,Freq2_harmonics_amplitude_3,Freq2_harmonics_rel_phase_0,Freq2_harmonics_rel_phase_1,Freq2_harmonics_rel_phase_2,Freq2_harmonics_rel_phase_3,Freq3_harmonics_amplitude_0,Freq3_harmonics_amplitude_1,Freq3_harmonics_amplitude_2,Freq3_harmonics_amplitude_3,Freq3_harmonics_rel_phase_0,Freq3_harmonics_rel_phase_1,Freq3_harmonics_rel_phase_2,Freq3_harmonics_rel_phase_3,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,PercentDifferenceFluxPercentile,PeriodLS,Period_fit,Psi_CS,Psi_eta,Q31,Q31_color,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonJ,StetsonK,StetsonK_AC,StetsonL
48.2620.2719,0.3652500000000001,0.9999984815092599,26.0,-5.163442048517521,0.33423180592991913,-0.03766036100818988,50.307055340561185,-0.10263852681423755,0.1252012099094415,0.005420054200542005,293.2981624648918,40.68960746362653,0.1527987897125566,0.26021180030257124,0.3963691376701957,0.5234493192133116,0.7261724659606658,0.1851398710560473,0.05397066919481469,0.051853853891370275,0.035620702900832114,0.0,0.378300045277818,0.009968529331844778,-0.26842974785509566,0.05886920429068562,0.02159246553328644,0.0017996881229432723,0.013132305919296929,0.0,1.0599411336490818,1.3456550514997339,-1.4051787490706016,0.05345186991606564,0.02832096610985859,0.0006314049750900926,0.010685066938060261,0.0,-1.6460392032258813,-2.2112371251294896,-1.7778495143897772,-0.00014637364740214016,3.0827535493219793,-5.163442048517521,-0.03663420526980792,0.1299999999999999,0.4420485175202156,-0.23333333333333334,-0.1332428238944919,-0.12820015515903813,2244.7245934285706,1.8336607452249216e-31,0.31987797440936444,0.4910310734325772,0.2599999999999998,0.09525000000000028,0.31987797440936067,-0.5149818292361118,42.0810060002259,0.21544637869458505,0.1891585959041484,0.658386729613344,0.7952364901502533,0.7653424437491922,0.4576642401566906
69.12549.21,0.19450000000000012,0.9999173430999351,18.0,-7.2651977186311765,0.2889733840304182,-0.018667526220181564,57.93037556198571,-0.12541257756662372,0.2868426039494718,0.022988505747126436,74.48019120920702,7.899429965393212,0.12158054711246222,0.2583586626139819,0.37082066869300906,0.5167173252279638,0.6869300911854108,0.09970115860291852,0.04394968509285116,0.03072184905788296,0.054981694819167586,0.0,-1.149640478119943,-1.236725153752357,0.08444049096307138,0.042645999768700205,0.03478692236857601,0.035857233785237363,0.004090527424489355,0.0,2.660515278253417,0.312972413155185,2.211273095747598,0.02480696899769479,0.01511058871105172,0.0033503518589526682,0.0033639017503549365,0.0,-0.7391440631770128,-1.028732355452569,-1.8451026867163984,7.149808162410439e-05,0.38051750376273696,-7.2651977186311765,-0.013196255573777372,0.06099999999999994,0.4448669201520912,-0.1,-0.047927282743423755,-0.045310563283294275,2540.025220000003,6.500199474926792e-24,0.34088653255716117,0.2800532165437433,0.12099999999999955,0.04549999999999965,0.34088653255715456,-0.7047478260336827,147.13295999982802,1.1674838698491508,0.0958734058890813,0.7298390079287229,0.7706369538467096,0.783429465277278,0.486582198060274
61.8072.358,0.2304999999999997,0.9999974834254681,7.0,-4.905179292929295,0.26262626262626265,-0.6944990080014376,0.056728909650385406,-86.46701167287411,0.04640512265511987,0.0,2131.894992335858,437.96754126188506,0.16666666666666705,0.2885572139303495,0.4203980099502476,0.5796019900497524,0.8009950248756218,0.10502747119223683,0.03629777797833873,0.011096883860093842,0.007861802616486096,0.0,-0.0074929971467036505,-1.7482014549430203,-0.9212303873003382,0.03540196900095952,0.00792178820165225,0.006775203242930303,0.008540086097634715,0.0,0.016928302051249622,0.9456976154137443,2.1502134069525654,0.03114264548410556,0.011583257870114922,0.02588829255795614,0.007054715767836759,0.0,0.8496184565387955,1.512245208712954,0.8978684199875367,-4.305435153209935e-05,7.064910399028353,-4.905179292929295,-0.02785639154527792,0.08400000000000007,0.702020202020202,0.1,-0.1766146311600857,-0.08203244566880934,1905.725399249999,2.4503361499149663e-24,0.2920656163318041,1.0846226711331106,0.16799999999999926,0.11099999999999977,0.29206561633181405,-1.0371507917807723,4.984780000013416,6.032438965022761,0.13664059498362796,0.4468799989827669,0.7498212731560132,0.7254185077709361,0.3462587420144633
5.4892.1971,0.29149999999999965,1.0,115.0,-5.7524454365079425,0.29365079365079366,-0.006731664902344366,763.2299931334303,-0.007536975077317594,0.14698549132711047,0.0019880715705765406,4242.322903466983,578.1193722373383,0.11976047904191729,0.22954091816367334,0.3912175648702594,0.5768463073852296,0.7744510978043919,0.17052123383586573,0.03857149903318531,0.052374342830284255,0.02474960295372506,0.0,0.6321156740970276,-1.3218727800012222,-2.1368900492645504,0.04579575925625829,0.035296709537271424,0.02663306873949123,0.01441398057338972,0.0,1.4865463863551012,0.516744170545189,-0.6951123063302355,0.11504119653873449,0.05274617399527082,0.037857745315787485,0.031875811759212294,0.0,-0.7948349309779861,-1.4111208781871638,1.183663422592028,9.284258183232093e-05,30.83407274718531,-5.7524454365079425,-0.02625010947523424,0.09600000000000009,0.5565476190476191,-0.03333333333333333,-0.10868434737389492,-0.08684347373894946,2042.1673522500041,2.86760480959904e-128,0.33560569794162914,0.3781809815251325,0.19549999999999912,0.08999999999999986,0.3356056979416315,0.3135363434176194,0.479444999997213,0.16079090418730946,0.15100232245864512,0.6514281859609399,0.783614433976408,0.8362970843827963,0.5130061886425559
13.6805.324,0.3125,0.9999999980295271,55.0,-5.200255060728746,0.33805668016194335,-0.0336787827058531,46.94648322237927,-0.11076985332630405,0.11146807976711681,0.0,5667.638006483501,1282.6485093435313,0.1753731343283589,0.31716417910447775,0.4757462686567166,0.6473880597014938,0.8432835820895528,0.1469196212311643,0.028869089933262173,0.012992107448231599,0.01935971898649753,0.0,-0.4581182371849648,0.7559450944041541,-0.07250007109630985,0.12650168735482975,0.031012207611193027,0.033128601602238336,0.015291603833317279,0.0,0.8048838438047677,1.0200026606808008,0.21386913222584106,0.048441398773344115,0.008245893254446713,0.015130942743930505,0.017023602053056714,0.0,-0.026581431788924026,-2.1633809351920004,0.7600967288050586,0.00011029453197419764,37.548066005130536,-5.200255060728746,-0.03407862894107653,0.12299999999999978,0.5637651821862348,-0.03333333333333333,-0.1492995586259834,-0.1028593360199577,911.2506289999994,7.113772549170138e-64,0.2779494467349261,1.122616092048239,0.25424999999999986,0.1150000000000011,0.22802714505757224,-0.1424926437709933,0.26370199999655597,0.4742807760500156,0.1772175626135303,0.6039140703467165,0.8061060668264417,0.5455240202051709,0.4804022144685588
53.3970.140,0.15549999999999997,0.9999685186667874,11.0,-5.721534050179211,0.26523297491039427,-0.0048696860856467334,283.2169474988472,-0.020201948014436883,0.04331641711051226,0.02527075812274368,485781.76496633544,21665.732398032185,0.18385650224215425,0.30941704035874434,0.4529147982062782,0.5874439461883422,0.7443946188340789,0.0692617321665118,0.020790976430574464,0.008457733397474717,0.027343253199720148,0.0,-2.4180973324475894,-0.7937732281045107,-2.266012198924496,0.027515144112237454,0.005573613627639634,0.007714770917395333,0.016467897237690213,0.0,-1.5078262150871962,-0.49042939253880935,-0.05110902503075285,0.0282825385866844,0.0027045987903050583,0.012724901393493571,0.004298987447622172,0.0,-0.7835655718976378,0.1623916703444801,-0.42017873427625096,-5.430057007210785e-06,19.156307307191504,-5.721534050179211,-0.012813501714350797,0.04900000000000038,0.5017921146953405,-0.03333333333333333,-0.05085634393568688,-0.038972387277175786,1017.9702867999991,2.3471963811824168e-22,0.31180190176082007,0.7772037367324006,0.10050000000000026,0.051249999999999796,0.29435221005486145,0.5890604030763023,28.388903999933973,1.4062261662103603,0.07331288636068778,0.66920664160984,0.7813745582335115,0.8070924675679331,0.4151011761474288
52.4565.356,0.19799999999999995,0.999999947141328,13.0,-5.07503041825095,0.33460076045627374,-0.006902354849434128,352.0479298602493,-0.014415737142000975,-0.041596309723814784,0.0,17.611656389984187,16.623684117931393,0.13015873015873153,0.2539682539682546,0.4349206349206342,0.6158730158730167,0.8031746031746048,0.07079594032481346,0.042232059818089515,0.03128212795599575,0.025853126018391386,0.0,1.505062010184869,0.7369325123041015,0.2335217165258916,0.06000980685144501,0.004805054430874465,0.01350659099359944,0.005667819909449612,0.0,2.782919256561846,2.8971089319368635,1.0321217825928688,0.03757758293399131,0.00665663303064099,0.012072671482499887,0.004165701450865032,0.0,-0.7424378364165765,-1.7100592103517793,-0.7474249694650399,6.049003606221172e-05,0.6003909522275225,-5.07503041825095,-0.02015653503275084,0.06599999999999984,0.46387832699619774,0.3,-0.07175331093101395,-0.0622652698161691,0.9990259466143289,5.288109484369536e-10,0.14565725472754645,1.3642089056857096,0.13299999999999912,0.0810000000000004,0.28895613782641516,-0.4910103941701099,21.318231000019296,0.3877307943638115,0.10229502841775143,0.519652990919782,0.7858780564831832,0.7510674562164483,0.3829285971114513
68.10972.36,0.10699999999999976,1.0,27.0,-7.5920145454545445,0.44727272727272727,-0.0035118812442298144,702.909292216412,-0.010800845328869421,0.06950171470805433,0.0,18022.43402249441,10.311754895126398,0.4040404040404036,0.585858585858583,0.6919191919191884,0.782828282828278,0.8939393939393901,0.0865809084240374,0.01277432044998577,0.009039119691955732,0.003834917796755011,0.0,1.2383339766676906,-1.3870295854018417,0.3478778477629296,0.24029670988770563,0.06708028246415199,0.035479139685409576,0.024827642733657927,0.0,-0.7539974472797457,-1.4913550682992613,-2.2031297008086597,0.06990387829713107,0.004478513691167456,0.034101634575642706,0.01711831421710797,0.0,-2.0446005301768375,-1.3035440045102882,-0.14060107663349297,5.538273984004123e-05,0.403714170071038,-7.5920145454545445,-0.009325317227647246,0.0680000000000005,0.13090909090909092,-0.1,-0.01765015806111701,-0.026080084299262434,1268.027482999998,6.602999387373513e-45,0.34845873450613774,0.09605182461639768,0.13649999999999984,0.03100000000000036,0.35154123518780106,-0.0046620248726142325,221.21658000029856,-1.4929788613438073,0.07079794403327574,0.8628350844753583,0.9114807338634138,0.8676720617816089,0.8494812879744975
82.8403.551,0.2965,0.9999999996637563,1.0,-5.329661731207288,0.2722095671981777,-0.09913581369033736,3.0275163595184855,-1.7604072441923815,0.14101667788361105,0.0,1807743.9742327807,151162.5470708837,0.158695652173912,0.27826086956521767,0.3956521739130424,0.5456521739130442,0.7347826086956524,0.09802325078460165,0.05865137843966914,0.02959352271228312,0.05024441250490643,0.0,1.617305750428593,1.7498977762258563,1.500259001700988,0.07718910228440391,0.04216922169669118,0.02987070101603449,0.043019338860357366,0.0,1.7982276752219155,1.2979901980274398,0.30144515752265777,0.07336043939929951,0.02843988024350867,0.026871374950018668,0.0050523006035512776,0.0,-0.22543631325133773,0.4920534954783087,-0.07864300488299403,6.720390364061963e-05,571.4285561662861,-5.329661731207288,-0.027887326660114668,0.09050000000000002,0.6651480637813212,0.03333333333333333,-0.1688262910798122,-0.08638497652582158,3943.144912500007,1.9067767594157603e-24,0.1796417113562405,1.291862694379648,0.1817499999999992,0.13474999999999993,0.1796417113562405,-0.644629416325001,2.0697240000008605,3.177747842905639,0.1486300176860899,0.4545820743795926,0.759936776382412,0.6955894573528052,0.2987952071799492
9.4882.332,0.32899999999999974,1.0,153.0,-5.362285849056606,0.35754716981132073,-0.024827216666777136,102.11077672817444,-0.052514396823474974,0.15023562946487345,0.0,131.91986072376383,128.3004890785027,0.23793103448275843,0.37931034482758574,0.5224137931034482,0.6775862068965512,0.8551724137931042,0.19760301401737035,0.11552381443746644,0.04750519347092346,0.09644491326641823,0.0,1.415256515192511,1.9975733799144686,1.3570777997316188,0.125183752800615,0.043699170229681505,0.05380709484052575,0.024720976804784016,0.0,-0.7204863041026051,-1.9728426338466587,0.1453334294825528,0.04970176670646585,0.022984864023786144,0.009122899078908592,0.018078903030855954,0.0,0.4758616124734678,0.3818517786082576,-1.3245776116283274,0.00017065462930891627,22.55373303060644,-5.362285849056606,-0.03572465704502104,0.1499999999999999,0.43113207547169813,0.03333333333333333,-0.1354670636397469,-0.1079270561965017,4100.704600500001,2.1979952788612903e-126,0.3526593223419531,0.4052383770653257,0.3022499999999999,0.12300000000000022,0.3526593223419615,0.1322016679342711,188.71294599752582,-0.4376522271887766,0.19156582293491672,0.7383615871102288,0.8449623028602401,0.7875038618680994,0.6463383823660656
63.7365.151,0.18150000000000066,0.8160592054669182,16.0,-5.473486055776892,0.30677290836653387,-0.008649123643548506,191.1912941633056,-0.028628322642670782,0.1471550732553677,0.0,63481.053376356445,79378.33306258956,0.13268608414239594,0.31715210355987283,0.46601941747572834,0.6278317152103555,0.8187702265372168,0.09461665985878054,0.015139817493397647,0.024322631430175812,0.013854642667812602,0.0,0.27875014510482554,-0.5660081687293965,-0.37100756958450154,0.05824642960620971,0.013153698435962162,0.007222486992767306,0.01702257384181744,0.0,-1.208215254209898,-1.8821336593514002,-2.0238027928294113,0.028720794432555933,0.010230731526790188,0.011512365562376286,0.0016184267892427502,0.0,0.31415601023852413,-0.48839683117041344,1.734395933885748,-3.159802035137822e-05,33.25039585444676,-5.473486055776892,-0.017852615724859515,0.07099999999999973,0.4940239043824701,0.03333333333333333,-0.06428049671292921,-0.056428049671292946,0.9995016564770567,1.3937553285657856e-15,0.1649885656057704,1.3365048016314522,0.14250000000000007,0.06350000000000033,0.31884641647475676,0.16168748189287135,1.8608909999966272,0.17407228963845567,0.09771604322916182,0.5388083258689383,0.8039614071965565,0.8358679266599949,0.39186910903412653
9.5484.258,0.19074999999999998,1.0,1.0,-5.601696069031638,0.17545541706615533,-0.10433534596862827,1.2584315267940258,-4.4513316376477725,0.12274356650367224,0.0009606147934678194,671.7748487514041,56.88495283326971,0.12363636363636278,0.22545454545454618,0.34181818181818246,0.48727272727272786,0.7163636363636356,0.048673768733920514,0.019982079496649565,0.016153762794548315,0.0011418151427741335,0.0,1.281031196601305,2.941315335304599,2.7423100279382044,0.03392622623919826,0.0074788398874804565,0.007698630095847573,0.008461649021824759,0.0,-0.7089261258586718,-0.3493009232520371,-0.784941898997752,0.021505504871230794,0.009011767486838304,0.003420204757106517,0.005816848785552254,0.0,1.1134141779379152,1.9894463965194082,-0.13349690477081644,2.2789862519001565e-07,3.8784744670961446,-5.601696069031638,-0.017485306728499815,0.047999999999999154,0.8331735378715245,-0.16666666666666666,-0.11918760021378949,-0.04899340815962949,911.2676890000001,8.000093114318497e-22,0.10813737988638966,1.5925752180952109,0.0940000000000003,0.08875000000000033,0.10927876675710102,1.570658106090373,0.42900500000541797,7.907466006303965,0.09794737396684985,0.22445958143803163,0.677339326856379,0.6746489567076054,0.1353878661190827
13.6808.521,0.2762500000000001,0.9999681823477399,25.0,-5.1735010266940336,0.2813141683778234,-0.015528479105694944,105.10789181071462,-0.04922086189313761,0.10744757143680772,0.0,25137.717951316594,2621.028620918157,0.14675052410901332,0.24528301886792436,0.3836477987421396,0.5199161425576521,0.7379454926624721,0.11340010840060116,0.044090171674716794,0.047540033309528655,0.014838308480521499,0.0,2.721567872522426,0.08450054791180395,0.6845032917893347,0.06392149438676882,0.03967869239621341,0.01134446125423201,0.010991633565117736,0.0,-1.8309791767484773,-2.0193910099730727,0.2960326625686638,0.040085054419732494,0.016293212078102443,0.014395680231016157,0.017670431378874744,0.0,1.5677603979463368,0.31200073130018535,-0.9455833416680859,-3.845112480653726e-05,65.14363269442624,-5.1735010266940336,-0.027959668269427376,0.09050000000000047,0.6796714579055442,-0.03333333333333333,-0.14708156165442582,-0.09219172787011988,1025.1569576249994,1.0355435114210603e-52,0.21297213586958716,1.169435841377074,0.1825000000000001,0.11100000000000021,0.21155333135616178,0.04794614390240127,0.14274300000397488,1.4146281193481993,0.14464937249790713,0.35119912348863175,0.7694950727347009,0.6877177532428298,0.23645561357457026
25.3712.72,0.1695000000000002,0.9999937515832793,31.0,-5.5959210526315735,0.31842105263157894,-0.004089977065577347,624.4975156037355,-0.008960677845486214,0.12364428070175393,0.0,7847.417088512091,2930.652679156807,0.237762237762236,0.34615384615384315,0.47902097902097673,0.6223776223776211,0.825174825174823,0.10093123324432979,0.012982985461984769,0.005306172325589122,0.04520417574728818,0.0,-0.18328164508298994,-0.6012101139627211,-1.9406180569378255,0.022636711125972545,0.006847750311638879,0.006631268389643347,0.00354315936491116,0.0,-1.0888429952890004,-0.5668043368608808,-0.015522465664210894,0.016681676158401163,0.010740231732964211,0.004340286100517911,0.005936424710879062,0.0,2.3439804672155438,2.809865410274977,0.8043952693415568,2.9445494602565776e-05,10.830324905976033,-5.5959210526315735,-0.016842814339642694,0.06799999999999962,0.46578947368421053,-0.1,-0.05957902247591875,-0.05101676774884061,2329.4224114285735,2.874488975553408e-45,0.37188866119055813,0.5680131824763309,0.13724999999999898,0.06699999999999973,0.3718886611906096,-0.0929681476649896,118.32661200017901,0.2249436700134746,0.09425105934877151,0.5772358324145446,0.8261735100897961,0.767606273173409,0.3890114004158462
208.16034.100,0.4535,1.0,222.0,-6.613143856143859,0.36363636363636365,-0.009300625246861429,498751659.1100733,-1.3259392195193387e-08,0.11666216392303053,0.0,169212.60246615278,253.9535637931511,0.29419035846724323,0.4684796044499392,0.6217552533992591,0.7527812113720649,0.8813349814585907,0.33911281953595346,0.06509239997179023,0.08401284202137486,0.03701770596583567,0.0,0.39912497284305803,0.7489804296891145,-0.5856898446830863,0.06109199689426578,0.029451276718585617,0.02623528713687078,0.012097046653335594,0.0,1.7300535763788325,-0.2972260062632315,-0.46744981311864264,0.051841242273429775,0.019081910628645934,0.022000764953900066,0.006918444087538696,0.0,1.831331817589445,1.4675228164652863,-0.6605556441938619,0.00034927626893132185,35.73852071430334,-6.613143856143859,-0.0417267227364733,0.2549999999999999,0.2127872127872128,0.03333333333333333,-0.10251771445801293,-0.12196592793607708,2690.8119100000044,1.7173092172330128e-182,0.436542704797325,0.051968464674192506,0.5030000000000001,0.07900000000000151,0.436542704797325,0.24778806323417918,461.8198130002711,-1.1675327855397044,0.27594482010172666,0.8604597472118769,0.8772985405157842,0.7130276400913407,0.7669862152088023
11.8988.1350,0.5154999999999998,0.99999955505905,27.0,-4.681424326833802,0.3129062209842154,0.03288985103526794,94.29640237332822,-0.04964584235461717,0.10621533797066984,0.0,538.1132051026319,588.4050320545083,0.13160854893138366,0.26434195725534365,0.3880764904386952,0.5545556805399323,0.7604049493813271,0.19912429034192275,0.057931268409953524,0.041092317129191015,0.007478546216626216,0.0,-1.9468850917032459,-0.08273793938001694,-1.0309720171863404,0.14826781526711047,0.003373507863660233,0.023640961938379144,0.049916975566800345,0.0,2.5577595214247606,0.3534469536948903,2.534277400185135,0.07179188714313424,0.006903614220544194,0.005237965112698091,0.002381995299507432,0.0,1.3518899353994136,-0.46167082450470864,0.22310154306147606,-1.2834092082440403e-05,74.00118082659075,-4.681424326833802,-0.05736548144944572,0.17100000000000026,0.574744661095636,-0.1,-0.2525706940874036,-0.19044558697514982,709.2671193913044,6.215202364341699e-58,0.2663828369792471,0.9840793365209856,0.34499999999999975,0.19700000000000006,0.1845612117074071,-0.20266008039042865,4.48033600000781,0.3872771303649998,0.26855216037796836,0.5405418003476589,0.7834272256097723,0.6828601543357238,0.39562421712705437
22.5595.1333,0.2969999999999997,1.0,73.0,-5.628253913043477,0.20869565217391303,-0.030898595814646816,75.34542691404516,-0.07469934332529891,0.07722039525691748,0.012216404886561954,1048.1842301770896,307.5038374206599,0.13137254901960824,0.2509803921568631,0.37843137254902076,0.5529411764705885,0.8176470588235294,0.21085778004545525,0.06784499217517512,0.04742668257735555,0.03313633304244241,0.0,-0.9647590607691798,-0.07441155155717838,0.09302263811382616,0.07397065021517316,0.02264977491790989,0.03432161656713186,0.004558018412912392,0.0,0.2879568285200875,-1.5659730407980637,0.18911687689383327,0.021069109446294632,0.011073305763181706,0.0024543293055647817,0.0050788464141891775,0.0,0.06669725295716405,-0.5383845004517804,0.9671767703287786,-0.00011401104193082511,12.332838043520407,-5.628253913043477,-0.028309433282195547,0.09699999999999953,0.5791304347826087,0.1,-0.10136210861489482,-0.09021758358393771,2728.689582999999,1.605118425687084e-67,0.3541818762435164,0.3574671752897389,0.19200000000000017,0.07700000000000085,0.3541818762435158,0.7569443449625808,189.67139999876963,0.861075703964238,0.15933267864656034,0.6802150955906824,0.772656362682485,0.7529501542057615,0.48458780676869523
208.15920.619,0.3514999999999997,0.9999999999999996,84.0,-5.391576649746192,0.2730964467005076,-0.02595295683740792,71.8474674561324,-0.07504198603852116,-0.028816463483103405,0.004069175991861648,1097.751499735608,1434.5522233280776,0.16694214876033042,0.2991735537190081,0.43636363636363495,0.5917355371900817,0.7884297520661157,0.18634797318633212,0.05113474148681545,0.019636785510536048,0.04504677376385029,0.0,0.5526806541641838,-0.3203676903808029,-0.49730522113408704,0.05626499625798749,0.023825998664566743,0.0009438093713281841,0.003867483029809393,0.0,0.5592708006427292,0.39980260551001084,-1.4583706877095244,0.04011442431772998,0.013512132115399571,0.020724290628297653,0.008175311915095629,0.0,-0.5017153419737201,0.6020824997596939,-1.8091322168027053,-8.677368926421716e-05,56.083220285688434,-5.391576649746192,-0.035819558570350046,0.13000000000000078,0.6050761421319797,0.1,-0.15033284023668633,-0.111871301775148,1792.2966142500024,3.366498599475132e-93,0.2977390976700517,0.6851699888936369,0.26399999999999935,0.15799999999999947,0.2977390976700497,0.35243592677595004,0.49234900000010384,0.7625847418031313,0.19312389559211537,0.5007219882520989,0.7942026886525734,0.7066787499958163,0.35166402836090443
